V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22
;rn;;will;And;;journals;UFBrms;;degli;Stiglitz;;;;;;;rn;;;The;rn
;;;;;Marcu;papers;SOEs;I;Universita;E;;;;A;The;–;;;;rn;–
;;;;University;;;;All;Torino;;;;The;;;;;R;;In;
;;;;;;rn;;;Studi;;;;•;;;;;;;;
;;;Nov;get;September;;UFBrm;downloaded;–rn;;;;;;;How;The;;I;;ANR
;;;;say;;J;;httpaboutjstororgtermsrn;p;The;;;;;;;;;;;PhD
;;;;;Sreenivas;journal;;UTCrn;January;;–;;Borruso;We;;;;E;;This;employed
;;;;;;¼;;;Economic;;;;;;;;;N;;;PhDs
;;;;;Bouyssou;published;;;Spring;J;Journal;I;;;;;;;;;jobs
;;;;;DaUnut¸;;;;;;;;;;;;;;;andrn;
eg;;thern;;;;Journal;;This;;Nobel;;;;But;;;;D;;thern;–rn
–rn;;;;After;;;;JSTOR;;volume;;;;just;s;;;;;;
;;;Fri;;March;;Blackwell;;di;chapters;see;;Review;new;;;;;;For;
;;;one;;;;;;;;now;;;likely;;;;M;can;two;
P;;;;;et;þ;Publishing;;;;four;;;good;THE;;;O;;A;
;;;;;;journal’s;;;;one;All;;th;On;;;;A;;;
;;;;;;pp;;;;;;;;rather;;;;;;ofrn;
al;;Pressrn;UTCrn;love;;Economic;;ABS;;;since;;;;DC;;;;;University;
;;di;;;;editors;;;;rather;common;;George;;;;;;;;
;;;;;;;;pp;;American;Van;;;eg;;;;;;As;n
;;Universita;;Mon;;R;;Journal;;;Cremer;;;;;;pp;G;p;;
;;;It;;RE;;;;;A;diUFBerences;;It;One;;thus;rnn;;;;
;;degli;;;October;;;;;Review;van;;;;;;;;;;
;;Torino;;;;Econ;;Francis;;;;C;Land;;;;;;;arn;
;This;;;;;;;;;;;;;;;us;;;;;
;;changes;;;;Table;;;;;;;;;;;;;;;
;;acceptable;;Dec;;author’s;;EDUCATIONrn;;This;;;;What;;;significantrn;;;There;BIBLIOTECA
;UTCrn;classifications;;Not;;paper;;;;;;;;;;;TABLE;L;;;COGNETTI
;;open;;;;Q;;;;;Dijk;;;;;;THE;;;Journal;
;;working;;English;Soifer;C;;either;Content;;;;thus;;;;;;di;;DE
