;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20
1;;;;;ance;;;eti;;fo;;;;rd;coope;;;ai;ub;ugs
2;;;equi;eufbects;;wo;;ement;;om;;owth;;fi;fi;ansfe;;ti;;esc
3;;;wo;;insu;ke;;estau;;mo;;;;ime;rd;;dist;;;indust
4;ty;lea;ah;efe;;etu;;;yea;ove;tality;life;;sity;;wtp;ed;fo;;‘
5;;;og;;expe;ns;;ants;;pa;mo;wo;;unive;indust;;;;pa;pha
6;ld;;;;coinsu;ufb;en;ade;;othe;ossref;ld;ty;;ms;ada;;welfa;ty;
7;;;oblem;;plans;;;;;ed;ies;;home;;sities;pe;insu;social;;ciga
8;;;wa;atio;rand;ea;school;chain;fiveyea;pe;data;ies;poo;ms;unive;access;;efe;;
9;;slid;att;;iment;;;ca;ith;ve;count;pe;;secto;cing;ketplace;;hi;;maceutical
10;;;iod;og;;fo;es;uafa;;ing;su;capita;;ket;ation;;icts;qi;;
11;‘;;ansfe;iety;pe;;;ds;tality;inte;om;mala;es;eation;ative;;baa;aia;;
12;ies;ning;ty;ammes;;;;;;thei;jou;ica;;etu;esea;envi;ated;tia;;
13;ta;bc;pe;owth;;nings;;ant;pe;diffe;social;ia;measu;;ch;public;edit;;ð;ed
14;en;;fo;wellbeing;age;af;choice;mandato;iod;data;nal;tfp;ene;ma;eements;thei;;dist;iod;minist
15;;;;;ca;ave;pe;;ices;nal;poo;wate;gy;ubb;ag;po;;;oups;
16;ess;su;ement;amme;diffe;seconda;;sco;;es;;oductivity;;;science;csf;;theo;tax;adve
17;ag;tuto;sepa;va;cove;labo;;;;cont;;;;ofits;complementa;og;‘‘robin;em;;itish
18;;;;app;;yea;gdp;ef;;ee;dist;ou;af;;ttt;ticipation;est;ences;efe;cont
19;;;;ence;;tia;va;;ies;ent;ibution;tality;pe;job;;site;hood;ep;ibution;oducts
20;;;ibutes;tainty;egion;age;;;;compa;;;;eam;fo;ma;inte;qalys;;ette
21;;hou;ent;;ee;ies;ollment;afte;;jou;;;va;;impo;awa;ance;aa;;
22;epo;vey;ements;isk;;;coefficient;oss;;se;ma;poo;ino;egime;veugele;ouwe;fo;·;ich;smoke
23;ity;ee;;oach;ent;ica;ates;ates;mo;numbe;;expe;;social;mation;;debt;;;ices
24;;opout;;unce;eatment;uppe;ivate;befo;;te;;;;oduct;info;espondents;psf;;ium;cance
25;thei;;fi;;epo;highly;tenu;eputational;filte;esults;ge;mo;;inc;;;om;dal;ei;decembe
26;;efe;diufbe;inc;healthca;level;seconda;consume;du;level;ich;;;;op;pa;gua;qn;oposition;docto
27;;thei;option;itical;;;eligious;sala;;ence;ame;;sita;access;nal;test;system;øste;highe;ug
28;ove;;poo;ca;dolla;ginal;;diffe;;co;;va;;downst;tance;bateman;ope;yea;edist;nhs
29;secu;ative;cost;;;;;reti;;la;measu;;ove;;;onmental;benson;ud;ß;ettes
30;;ences;vb;;;yes;ch;ages;;ch;lite;nou;espondent;;sou;;unde;ing;;int
